Java Lines of Code Counter
from: https://sourceforge.net/p/locjava/wiki/Home/

00034 SourceFiles\HomeFrameController.java
00269 SourceFiles\HomeFramePane.java
00420 SourceFiles\MacOSXConfiguration.java
00588 SourceFiles\SweetHome3D.java
00057 SourceFiles\SweetHome3DBootstrap.java
00473 SourceFiles\applet\AppletApplication.java
00158 SourceFiles\applet\AppletContentManager.java
00275 SourceFiles\applet\AppletUserPreferences.java
00186 SourceFiles\applet\HomeAppletController.java
00173 SourceFiles\applet\HomeAppletRecorder.java
00145 SourceFiles\applet\SweetHome3DApplet.java
00077 SourceFiles\applet\SweetHome3DViewer.java
00231 SourceFiles\applet\ViewerHelper.java
00204 SourceFiles\io\AutoRecoveryManager.java
00298 SourceFiles\io\Base64.java
00259 SourceFiles\io\ContentDigestManager.java
00002 SourceFiles\io\ContentRecording.java
00017 SourceFiles\io\DamagedHomeIOException.java
00354 SourceFiles\io\DefaultFurnitureCatalog.java
00308 SourceFiles\io\DefaultHomeInputStream.java
00213 SourceFiles\io\DefaultHomeOutputStream.java
00058 SourceFiles\io\DefaultLibrary.java
00037 SourceFiles\io\DefaultPatternTexture.java
00166 SourceFiles\io\DefaultTexturesCatalog.java
00106 SourceFiles\io\DefaultUserPreferences.java
00969 SourceFiles\io\FileUserPreferences.java
00126 SourceFiles\io\HomeContentContext.java
00153 SourceFiles\io\HomeFileRecorder.java
00006 SourceFiles\io\HomeURLContent.java
00460 SourceFiles\io\HomeXMLExporter.java
00756 SourceFiles\io\HomeXMLHandler.java
00016 SourceFiles\io\ObjectXMLExporter.java
00023 SourceFiles\io\URLContentClassLoader.java
00086 SourceFiles\io\XMLWriter.java
00235 SourceFiles\j3d\Component3DManager.java
00555 SourceFiles\j3d\DAELoader.java
00288 SourceFiles\j3d\Ground3D.java
00392 SourceFiles\j3d\HomePieceOfFurniture3D.java
00104 SourceFiles\j3d\Label3D.java
00696 SourceFiles\j3d\Max3DSLoader.java
00650 SourceFiles\j3d\ModelManager.java
00613 SourceFiles\j3d\OBJLoader.java
00037 SourceFiles\j3d\OBJMaterial.java
00622 SourceFiles\j3d\OBJWriter.java
00207 SourceFiles\j3d\Object3DBranch.java
00031 SourceFiles\j3d\Object3DBranchFactory.java
00629 SourceFiles\j3d\PhotoRenderer.java
00054 SourceFiles\j3d\Polyline3D.java
00402 SourceFiles\j3d\Room3D.java
00077 SourceFiles\j3d\ShapeTools.java
00266 SourceFiles\j3d\TextureManager.java
00764 SourceFiles\j3d\Wall3D.java
00008 SourceFiles\model\AspectRatio.java
00048 SourceFiles\model\BackgroundImage.java
00056 SourceFiles\model\Baseboard.java
00143 SourceFiles\model\Camera.java
00028 SourceFiles\model\CatalogDoorOrWindow.java
00005 SourceFiles\model\CatalogItem.java
00009 SourceFiles\model\CatalogLight.java
00201 SourceFiles\model\CatalogPieceOfFurniture.java
00115 SourceFiles\model\CatalogTexture.java
00019 SourceFiles\model\CollectionChangeSupport.java
00020 SourceFiles\model\CollectionEvent.java
00004 SourceFiles\model\CollectionListener.java
00840 SourceFiles\model\Compass.java
00006 SourceFiles\model\Content.java
00018 SourceFiles\model\DamagedHomeRecorderException.java
00150 SourceFiles\model\DimensionLine.java
00006 SourceFiles\model\DoorOrWindow.java
00004 SourceFiles\model\Elevatable.java
00038 SourceFiles\model\FurnitureCatalog.java
00040 SourceFiles\model\FurnitureCategory.java
00747 SourceFiles\model\Home.java
00035 SourceFiles\model\HomeApplication.java
00015 SourceFiles\model\HomeDescriptor.java
00087 SourceFiles\model\HomeDoorOrWindow.java
00255 SourceFiles\model\HomeEnvironment.java
00369 SourceFiles\model\HomeFurnitureGroup.java
00041 SourceFiles\model\HomeLight.java
00045 SourceFiles\model\HomeMaterial.java
00040 SourceFiles\model\HomeObject.java
00663 SourceFiles\model\HomePieceOfFurniture.java
00059 SourceFiles\model\HomePrint.java
00006 SourceFiles\model\HomeRecorder.java
00077 SourceFiles\model\HomeTexture.java
00006 SourceFiles\model\IllegalHomonymException.java
00007 SourceFiles\model\InterruptedRecorderException.java
00131 SourceFiles\model\Label.java
00355 SourceFiles\model\LengthUnit.java
00096 SourceFiles\model\Level.java
00010 SourceFiles\model\Library.java
00003 SourceFiles\model\Light.java
00027 SourceFiles\model\LightSource.java
00008 SourceFiles\model\NotEnoughSpaceRecorderException.java
00110 SourceFiles\model\ObserverCamera.java
00017 SourceFiles\model\PatternsCatalog.java
00025 SourceFiles\model\PieceOfFurniture.java
00350 SourceFiles\model\Polyline.java
00009 SourceFiles\model\RecorderException.java
00335 SourceFiles\model\Room.java
00025 SourceFiles\model\Sash.java
00007 SourceFiles\model\Selectable.java
00010 SourceFiles\model\SelectionEvent.java
00004 SourceFiles\model\SelectionListener.java
00097 SourceFiles\model\TextStyle.java
00008 SourceFiles\model\TextureImage.java
00038 SourceFiles\model\TexturesCatalog.java
00040 SourceFiles\model\TexturesCategory.java
00014 SourceFiles\model\Transformation.java
00481 SourceFiles\model\UserPreferences.java
00526 SourceFiles\model\Wall.java
00033 SourceFiles\plugin\HomePluginController.java
00059 SourceFiles\plugin\Plugin.java
00062 SourceFiles\plugin\PluginAction.java
00255 SourceFiles\plugin\PluginManager.java
00216 SourceFiles\swing\AutoCommitSpinner.java
00052 SourceFiles\swing\AutoCompleteDocument.java
00015 SourceFiles\swing\AutoCompleteTextField.java
00573 SourceFiles\swing\BackgroundImageWizardStepsPanel.java
00182 SourceFiles\swing\BaseboardChoiceComponent.java
00065 SourceFiles\swing\CatalogItemToolTip.java
00556 SourceFiles\swing\ColorButton.java
00315 SourceFiles\swing\CompassPanel.java
00064 SourceFiles\swing\ControllerAction.java
00668 SourceFiles\swing\FileContentManager.java
00062 SourceFiles\swing\FontNameComboBox.java
00467 SourceFiles\swing\FurnitureCatalogListPanel.java
00067 SourceFiles\swing\FurnitureCatalogTransferHandler.java
00278 SourceFiles\swing\FurnitureCatalogTree.java
01173 SourceFiles\swing\FurnitureTable.java
00241 SourceFiles\swing\FurnitureTablePanel.java
00091 SourceFiles\swing\FurnitureTransferHandler.java
00310 SourceFiles\swing\HelpPane.java
00221 SourceFiles\swing\Home3DAttributesPanel.java
01520 SourceFiles\swing\HomeComponent3D.java
00840 SourceFiles\swing\HomeFurniturePanel.java
00064 SourceFiles\swing\HomePDFPrinter.java
02810 SourceFiles\swing\HomePane.java
00261 SourceFiles\swing\HomePrintableComponent.java
00029 SourceFiles\swing\HomeTransferableList.java
00112 SourceFiles\swing\IconManager.java
00908 SourceFiles\swing\ImportedFurnitureWizardStepsPanel.java
00506 SourceFiles\swing\ImportedTextureWizardStepsPanel.java
00007 SourceFiles\swing\InterruptedPrinterException.java
00105 SourceFiles\swing\JPEGImagesToVideo.java
00298 SourceFiles\swing\LabelPanel.java
00313 SourceFiles\swing\LevelPanel.java
00087 SourceFiles\swing\LocatedTransferHandler.java
00465 SourceFiles\swing\ModelMaterialsComponent.java
00192 SourceFiles\swing\ModelPreviewComponent.java
00383 SourceFiles\swing\MultipleLevelsPlanPanel.java
00095 SourceFiles\swing\NullableCheckBox.java
00219 SourceFiles\swing\NullableSpinner.java
00187 SourceFiles\swing\ObserverCameraPanel.java
00255 SourceFiles\swing\PageSetupPanel.java
00522 SourceFiles\swing\PhotoPanel.java
00266 SourceFiles\swing\PhotoSizeAndQualityPanel.java
00496 SourceFiles\swing\PhotosPanel.java
03025 SourceFiles\swing\PlanComponent.java
00143 SourceFiles\swing\PlanTransferHandler.java
00354 SourceFiles\swing\PolylinePanel.java
00130 SourceFiles\swing\PrintPreviewPanel.java
00101 SourceFiles\swing\ProportionalLayout.java
00131 SourceFiles\swing\ResourceAction.java
00478 SourceFiles\swing\RoomPanel.java
00107 SourceFiles\swing\ScaledImageComponent.java
00608 SourceFiles\swing\SwingTools.java
00114 SourceFiles\swing\SwingViewFactory.java
00560 SourceFiles\swing\TextureChoiceComponent.java
00079 SourceFiles\swing\ThreadedTaskPanel.java
00045 SourceFiles\swing\UnfocusableToolBar.java
00736 SourceFiles\swing\UserPreferencesPanel.java
01015 SourceFiles\swing\VideoPanel.java
00079 SourceFiles\swing\VisualTransferHandler.java
00712 SourceFiles\swing\WallPanel.java
00176 SourceFiles\swing\WizardPane.java
00184 SourceFiles\tools\ExtensionsClassLoader.java
00207 SourceFiles\tools\OperatingSystem.java
00031 SourceFiles\tools\ResourceURLContent.java
00024 SourceFiles\tools\SimpleURLContent.java
00036 SourceFiles\tools\TemporaryURLContent.java
00098 SourceFiles\tools\URLContent.java
00147 SourceFiles\viewcontroller\AbstractPhotoController.java
00225 SourceFiles\viewcontroller\BackgroundImageWizardController.java
00108 SourceFiles\viewcontroller\BaseboardChoiceController.java
00176 SourceFiles\viewcontroller\CompassController.java
00011 SourceFiles\viewcontroller\ContentManager.java
00003 SourceFiles\viewcontroller\Controller.java
00003 SourceFiles\viewcontroller\DialogView.java
00014 SourceFiles\viewcontroller\ExportableView.java
00110 SourceFiles\viewcontroller\FurnitureCatalogController.java
00733 SourceFiles\viewcontroller\FurnitureController.java
00008 SourceFiles\viewcontroller\FurnitureView.java
00271 SourceFiles\viewcontroller\HelpController.java
00003 SourceFiles\viewcontroller\HelpView.java
00205 SourceFiles\viewcontroller\Home3DAttributesController.java
01833 SourceFiles\viewcontroller\HomeController.java
00497 SourceFiles\viewcontroller\HomeController3D.java
01021 SourceFiles\viewcontroller\HomeFurnitureController.java
00052 SourceFiles\viewcontroller\HomeView.java
00419 SourceFiles\viewcontroller\ImportedFurnitureWizardController.java
00004 SourceFiles\viewcontroller\ImportedFurnitureWizardStepsView.java
00186 SourceFiles\viewcontroller\ImportedTextureWizardController.java
00367 SourceFiles\viewcontroller\LabelController.java
00289 SourceFiles\viewcontroller\LevelController.java
00064 SourceFiles\viewcontroller\ModelMaterialsController.java
00005 SourceFiles\viewcontroller\Object3DFactory.java
00185 SourceFiles\viewcontroller\ObserverCameraController.java
00068 SourceFiles\viewcontroller\PageSetupController.java
00089 SourceFiles\viewcontroller\PhotoController.java
00085 SourceFiles\viewcontroller\PhotosController.java
06928 SourceFiles\viewcontroller\PlanController.java
00036 SourceFiles\viewcontroller\PlanView.java
00375 SourceFiles\viewcontroller\PolylineController.java
00020 SourceFiles\viewcontroller\PrintPreviewController.java
00971 SourceFiles\viewcontroller\RoomController.java
00071 SourceFiles\viewcontroller\TextureChoiceController.java
00003 SourceFiles\viewcontroller\TextureChoiceView.java
00067 SourceFiles\viewcontroller\ThreadedTaskController.java
00004 SourceFiles\viewcontroller\ThreadedTaskView.java
00016 SourceFiles\viewcontroller\TransferableView.java
00268 SourceFiles\viewcontroller\UserPreferencesController.java
00156 SourceFiles\viewcontroller\VideoController.java
00002 SourceFiles\viewcontroller\View.java
00037 SourceFiles\viewcontroller\ViewFactory.java
00066 SourceFiles\viewcontroller\ViewFactoryAdapter.java
01036 SourceFiles\viewcontroller\WallController.java
00146 SourceFiles\viewcontroller\WizardController.java
-----

Line Count: 64782
